model,tier,run_number,start_datetime,end_datetime,samples_processed,failed_calls,total_batch_time_seconds,total_api_time_seconds,avg_api_call_seconds,total_input_tokens,total_output_tokens,total_tokens,throughput_tokens_per_second,source_file
open-mistral-7b,free,10,2025-11-20 04:21:51,2025-11-20 04:32:42,100,0,651,651,6.51,8923,98922,107845,151.9,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,11,2025-11-20 05:02:42,2025-11-20 05:12:53,100,0,611,611,6.12,8923,93291,102214,152.5,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,12,2025-11-20 05:42:54,2025-11-20 05:53:11,100,0,617,617,6.18,8923,92521,101444,149.8,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,13,2025-11-20 06:23:12,2025-11-20 06:33:46,100,0,634,634,6.34,8923,93332,102255,147.1,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,14,2025-11-20 07:03:46,2025-11-20 07:14:42,100,0,656,656,6.57,8923,96416,105339,146.8,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,15,2025-11-20 07:44:43,2025-11-20 07:56:07,100,0,684,684,6.84,8923,101089,110012,147.7,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,16,2025-11-20 08:26:08,2025-11-20 08:36:18,100,0,610,610,6.11,8923,91757,100680,150.2,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,17,2025-11-20 09:06:19,2025-11-20 09:16:48,100,0,629,629,6.30,8923,92919,101842,147.5,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,18,2025-11-20 09:46:48,2025-11-20 09:57:22,100,0,634,634,6.34,8923,95382,104305,150.4,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,19,2025-11-20 10:27:23,2025-11-20 10:38:07,100,0,644,644,6.45,8923,93203,102126,144.5,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,20,2025-11-20 11:08:08,2025-11-20 11:18:42,100,0,634,634,6.34,8923,92924,101847,146.6,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,21,2025-11-20 11:48:42,2025-11-20 12:00:00,100,0,678,678,6.79,8923,99072,107995,146.0,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,22,2025-11-20 12:30:00,2025-11-20 12:41:22,100,0,682,682,6.83,8923,98277,107200,143.9,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,23,2025-11-20 13:11:23,2025-11-20 13:22:02,100,0,639,639,6.39,8923,93046,101969,145.5,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,24,2025-11-20 13:52:03,2025-11-20 14:03:59,99,1,717,716,7.24,8878,106214,115092,148.2,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,25,2025-11-20 14:34:00,2025-11-20 14:44:42,100,0,642,642,6.43,8923,94483,103406,147.0,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,26,2025-11-20 15:14:43,2025-11-20 15:25:40,100,0,657,657,6.57,8923,94410,103333,143.6,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,27,2025-11-20 15:55:40,2025-11-20 16:06:21,100,0,641,641,6.41,8923,95211,104134,148.4,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,28,2025-11-20 16:36:22,2025-11-20 16:48:51,100,0,749,749,7.50,8923,110163,119086,146.9,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,29,2025-11-20 17:18:52,2025-11-20 17:30:05,100,0,673,673,6.73,8923,97737,106660,145.2,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,30,2025-11-20 18:00:05,2025-11-20 18:10:46,100,0,641,641,6.41,8923,93756,102679,146.2,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,31,2025-11-20 18:40:46,2025-11-20 18:51:15,100,0,629,629,6.30,8923,93105,102028,147.9,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,32,2025-11-20 19:21:16,2025-11-20 19:31:45,100,0,629,629,6.29,8923,93167,102090,148.1,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,33,2025-11-20 20:01:45,2025-11-20 20:13:07,99,1,686,682,6.90,8776,98427,107203,144.2,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,34,2025-11-20 20:43:11,2025-11-20 20:55:15,100,0,724,724,7.24,8923,107257,116180,148.0,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,35,2025-11-20 21:25:16,2025-11-20 21:35:15,100,0,599,599,6.00,8923,94797,103720,158.1,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,36,2025-11-20 22:05:16,2025-11-20 22:15:28,100,0,612,612,6.12,8923,94524,103447,154.4,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,37,2025-11-20 22:45:28,2025-11-20 22:57:03,100,0,695,695,6.96,8923,110966,119889,159.5,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,38,2025-11-20 23:27:03,2025-11-20 23:37:00,100,0,597,597,5.98,8923,92529,101452,154.9,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,39,2025-11-21 00:07:01,2025-11-21 00:17:35,100,0,634,634,6.35,8923,99978,108901,157.5,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,40,2025-11-21 00:47:36,2025-11-21 00:57:34,100,0,598,598,5.98,8923,93274,102197,155.9,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,41,2025-11-21 01:27:34,2025-11-21 01:37:34,100,0,600,600,6.01,8923,93949,102872,156.4,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,42,2025-11-21 02:07:35,2025-11-21 02:19:07,100,0,692,692,6.93,8923,97934,106857,141.4,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,43,2025-11-21 02:49:08,2025-11-21 03:00:13,100,0,665,665,6.66,8923,102862,111785,154.5,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,44,2025-11-21 03:30:14,2025-11-21 03:40:50,100,0,636,636,6.37,8923,97211,106134,152.6,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,45,2025-11-21 04:10:51,2025-11-21 04:20:53,100,0,602,602,6.02,8923,94472,103395,156.9,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,46,2025-11-21 04:50:53,2025-11-21 05:00:55,100,0,602,602,6.02,8923,92821,101744,154.1,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,47,2025-11-21 05:30:55,2025-11-21 05:40:58,100,0,603,603,6.04,8923,94711,103634,156.9,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,48,2025-11-21 06:10:59,2025-11-21 06:21:49,100,0,650,650,6.51,8923,103255,112178,158.7,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,49,2025-11-21 06:51:50,2025-11-21 07:01:38,100,0,588,588,5.89,8923,94208,103131,160.0,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,50,2025-11-21 07:31:39,2025-11-21 07:41:19,100,0,580,580,5.80,8923,92394,101317,159.2,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,51,2025-11-21 08:11:19,2025-11-21 08:22:26,100,0,667,667,6.68,8923,95357,104280,142.8,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,52,2025-11-21 08:52:27,2025-11-21 09:03:07,100,0,640,640,6.40,8923,101739,110662,159.0,open-mistral-7b_scheduled3_2318100.out
