Type,Model,GPU,Run,Metric,Value
Local,Mistral-7B-v0.3,A100-40GB,5,Time,01:03:55
Local,Mistral-7B-v0.3,A100-40GB,6,Time,01:04:02
Local,Mistral-7B-v0.3,A100-40GB,7,Time,01:04:13
Local,Mistral-7B-v0.3,A100-40GB,8,Time,01:04:06
Local,Mistral-7B-v0.3,A100-40GB,9,Time,01:04:01
Local,Mistral-7B-v0.3,A100-40GB,10,Time,01:04:10
Local,Mistral-7B-v0.3,A100-80GB,1,CO2eq,183.399419
Local,Mistral-7B-v0.3,A100-80GB,2,CO2eq,183.710869
Local,Mistral-7B-v0.3,A100-80GB,3,CO2eq,196.423376
Local,Mistral-7B-v0.3,A100-80GB,4,CO2eq,186.134155
Local,Mistral-7B-v0.3,A100-80GB,5,CO2eq,185.283572
Local,Mistral-7B-v0.3,A100-80GB,6,CO2eq,199.89604
Local,Mistral-7B-v0.3,A100-80GB,7,CO2eq,194.884643
Local,Mistral-7B-v0.3,A100-80GB,8,CO2eq,187.672286
Local,Mistral-7B-v0.3,A100-80GB,9,CO2eq,188.471033
Local,Mistral-7B-v0.3,A100-80GB,10,CO2eq,185.38326
Local,Mistral-7B-v0.3,A100-80GB,1,Distance,1.706041
Local,Mistral-7B-v0.3,A100-80GB,2,Distance,1.708938
Local,Mistral-7B-v0.3,A100-80GB,3,Distance,1.827194
Local,Mistral-7B-v0.3,A100-80GB,4,Distance,1.731481
Local,Mistral-7B-v0.3,A100-80GB,5,Distance,1.723568
Local,Mistral-7B-v0.3,A100-80GB,6,Distance,1.859498
Local,Mistral-7B-v0.3,A100-80GB,7,Distance,1.81288
Local,Mistral-7B-v0.3,A100-80GB,8,Distance,1.745789
Local,Mistral-7B-v0.3,A100-80GB,9,Distance,1.753219
Local,Mistral-7B-v0.3,A100-80GB,10,Distance,1.724495
Local,Mistral-7B-v0.3,A100-80GB,1,Energy,0.481426
Local,Mistral-7B-v0.3,A100-80GB,2,Energy,0.482243
Local,Mistral-7B-v0.3,A100-80GB,3,Energy,0.515614
Local,Mistral-7B-v0.3,A100-80GB,4,Energy,0.488605
Local,Mistral-7B-v0.3,A100-80GB,5,Energy,0.486372
